Ciudad;Fecha;Gravedad del Accidente;Cantidad;Cantidad_norm
BOGOTA;2017-09-01;CON MUERTOS;57;0.7053814665845949
BOGOTA;2017-09-01;SOLO DAÑOS;1982;24.52747485562574
BOGOTA;2017-10-01;CON HERIDOS;1878;23.240463056945075
BOGOTA;2017-10-01;CON MUERTOS;67;0.8291326010731204
BOGOTA;2017-10-01;SOLO DAÑOS;1997;24.713101557358527
BOGOTA;2017-11-01;CON HERIDOS;1785;22.08957750620179
BOGOTA;2017-11-01;CON MUERTOS;55;0.6806312396868899
BOGOTA;2017-11-01;SOLO DAÑOS;2157;26.693119709174933
BOGOTA;2017-12-01;CON HERIDOS;1712;21.186194224435553
BOGOTA;2017-12-01;CON MUERTOS;73;0.9033832817662356
BOGOTA;2017-12-01;SOLO DAÑOS;2159;26.71786993607264
CALI;2013-01-01;CON HERIDOS;1233;53.153791637136784
CALI;2013-01-01;CON MUERTOS;3;0.12932796018768072
CALI;2013-01-01;SOLO DAÑOS;626;26.986434359162715
CALI;2013-02-01;CON HERIDOS;1242;53.541775517699826
CALI;2013-02-01;CON MUERTOS;8;0.344874560500482
CALI;2013-02-01;SOLO DAÑOS;689;29.702321523104008
CALI;2013-03-01;CON HERIDOS;1410;60.784141288209945
CALI;2013-03-01;CON MUERTOS;2;0.0862186401251205
CALI;2013-03-01;SOLO DAÑOS;732;31.5560222857941
CALI;2013-04-01;CON HERIDOS;1447;62.37918613052467
CALI;2013-04-01;CON MUERTOS;8;0.344874560500482
CALI;2013-04-01;SOLO DAÑOS;824;35.522079731549645
CALI;2013-05-01;CON HERIDOS;1396;60.180610807334105
CALI;2013-05-01;CON MUERTOS;3;0.12932796018768072
CALI;2013-05-01;SOLO DAÑOS;784;33.79770692904723
CALI;2013-06-01;CON HERIDOS;1452;62.59473273083748
CALI;2013-06-01;CON MUERTOS;6;0.25865592037536145
CALI;2013-06-01;SOLO DAÑOS;659;28.409041921227203
CALI;2013-07-01;CON HERIDOS;1351;58.24069140451889
